id,text,true_label,bert_pred,bert_confidence,bert_prob_label_1,bert_correct,text_length_words,text_length_chars,has_negation
0,it 's a charming and often affecting journey . ,1,1,0.9998124241828918,0.9998124241828918,1,9,47,0
1,unflinchingly bleak and desperate ,0,0,0.9841991662979126,0.015800822526216507,1,4,34,0
2,allows us to hope that nolan is poised to embark a major career as a commercial yet inventive filmmaker . ,1,1,0.999722421169281,0.999722421169281,1,20,106,1
3,"the acting , costumes , music , cinematography and sound are all astounding given the production 's austere locales . ",1,1,0.9986962676048279,0.9986962676048279,1,20,118,0
4,"it 's slow -- very , very slow . ",0,0,0.9990094900131226,0.0009904502658173442,1,9,33,0
5,"although laced with humor and a few fanciful touches , the film is a refreshingly serious look at young women . ",1,1,0.9997401833534241,0.9997401833534241,1,21,112,1
6,a sometimes tedious film . ,0,0,0.9983477592468262,0.0016522005898877978,1,5,27,0
7,or doing last year 's taxes with your ex-wife . ,0,0,0.9951295852661133,0.004870458040386438,1,10,48,0
8,you do n't have to know about music to appreciate the film 's easygoing blend of comedy and romance . ,1,1,0.9995443224906921,0.9995443224906921,1,20,102,1
9,"in exactly 89 minutes , most of which passed as slowly as if i 'd been sitting naked on an igloo , formula 51 sank from quirky to jerky to utter turkey . ",0,0,0.998880922794342,0.0011190172517672181,1,33,154,0
10,the mesmerizing performances of the leads keep the film grounded and keep the audience riveted . ,1,1,0.9997510313987732,0.9997510313987732,1,16,97,0
11,"it takes a strange kind of laziness to waste the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same movie . ",0,0,0.999441921710968,0.000558050291147083,1,30,152,0
12,... the film suffers from a lack of humor ( something needed to balance out the violence ) ... ,0,0,0.9995059967041016,0.0004939655773341656,1,19,95,0
13,"we root for ( clara and paul ) , even like them , though perhaps it 's an emotion closer to pity . ",1,1,0.7053045630455017,0.7053045630455017,1,23,99,0
14,even horror fans will most likely not find what they 're seeking with trouble every day ; the movie lacks both thrills and humor . ,0,0,0.9992794394493103,0.0007205185829661787,1,25,131,1
15,"a gorgeous , high-spirited musical from india that exquisitely blends music , dance , song , and high drama . ",1,1,0.9997859597206116,0.9997859597206116,1,20,110,0
16,the emotions are raw and will strike a nerve with anyone who 's ever had family trauma . ,1,1,0.9992578625679016,0.9992578625679016,1,18,89,0
17,"audrey tatou has a knack for picking roles that magnify her outrageous charm , and in this literate french comedy , she 's as morning-glory exuberant as she was in amélie . ",1,1,0.9997163414955139,0.9997163414955139,1,32,173,0
18,... the movie is just a plain old monster . ,0,0,0.9991301894187927,0.0008698305464349687,1,10,44,0
19,"in its best moments , resembles a bad high school production of grease , without benefit of song . ",0,0,0.999497652053833,0.0005023663979955018,1,19,99,0
20,"pumpkin takes an admirable look at the hypocrisy of political correctness , but it does so with such an uneven tone that you never know when humor ends and tragedy begins . ",0,0,0.9974310994148254,0.002568858442828059,1,32,173,1
21,the iditarod lasts for days - this just felt like it did . ,0,0,0.9361278414726257,0.0638720914721489,1,13,59,0
22,holden caulfield did it better . ,0,1,0.9955379962921143,0.9955379962921143,0,6,33,0
23,"a delectable and intriguing thriller filled with surprises , read my lips is an original . ",1,1,0.999812662601471,0.999812662601471,1,16,91,0
24,seldom has a movie so closely matched the spirit of a man and his work . ,1,1,0.9990678429603577,0.9990678429603577,1,16,73,0
25,"nicks , seemingly uncertain what 's going to make people laugh , runs the gamut from stale parody to raunchy sex gags to formula romantic comedy . ",0,0,0.9988288283348083,0.001171224401332438,1,27,147,0
26,"the action switches between past and present , but the material link is too tenuous to anchor the emotional connections that purport to span a 125-year divide . ",0,0,0.9958361387252808,0.004163819365203381,1,28,161,1
27,it 's an offbeat treat that pokes fun at the democratic exercise while also examining its significance for those who take part . ,1,1,0.9996715784072876,0.9996715784072876,1,23,129,0
28,"it 's a cookie-cutter movie , a cut-and-paste job . ",0,0,0.9980037808418274,0.0019962205551564693,1,10,52,0
29,i had to look away - this was god awful . ,0,0,0.9976717829704285,0.0023282277397811413,1,11,42,0
30,"thanks to scott 's charismatic roger and eisenberg 's sweet nephew , roger dodger is one of the most compelling variations on in the company of men . ",1,1,0.9997995495796204,0.9997995495796204,1,28,150,0
31,"... designed to provide a mix of smiles and tears , `` crossroads '' instead provokes a handful of unintentional howlers and numerous yawns . ",0,0,0.9969995021820068,0.0030004933942109346,1,25,142,0
32,"a gorgeous , witty , seductive movie . ",1,1,0.9997994303703308,0.9997994303703308,1,8,39,0
33,"if the movie succeeds in instilling a wary sense of ` there but for the grace of god , ' it is far too self-conscious to draw you deeply into its world . ",0,0,0.9985094666481018,0.0014904785202816129,1,33,154,1
34,"it does n't believe in itself , it has no sense of humor ... it 's just plain bored . ",0,0,0.9993698000907898,0.0006302377441897988,1,20,86,1
35,a sequence of ridiculous shoot - 'em - up scenes . ,0,0,0.9993866682052612,0.0006132549606263638,1,11,51,0
36,"the weight of the piece , the unerring professionalism of the chilly production , and the fascination embedded in the lurid topic prove recommendation enough . ",1,1,0.9988507032394409,0.9988507032394409,1,26,160,1
37,"( w ) hile long on amiable monkeys and worthy environmentalism , jane goodall 's wild chimpanzees is short on the thrills the oversize medium demands . ",0,0,0.9964048862457275,0.0035951652098447084,1,27,152,0
38,"as surreal as a dream and as detailed as a photograph , as visually dexterous as it is at times imaginatively overwhelming . ",1,1,0.9991353154182434,0.9991353154182434,1,23,125,0
39,"escaping the studio , piccoli is warmly affecting and so is this adroitly minimalist movie . ",1,1,0.9995192289352417,0.9995192289352417,1,16,93,0
40,"there 's ... tremendous energy from the cast , a sense of playfulness and excitement that seems appropriate . ",1,1,0.9997921586036682,0.9997921586036682,1,19,110,0
41,"this illuminating documentary transcends our preconceived vision of the holy land and its inhabitants , revealing the human complexities beneath . ",1,1,0.999572217464447,0.999572217464447,1,21,147,0
42,the subtle strength of `` elling '' is that it never loses touch with the reality of the grim situation . ,1,1,0.9996562004089355,0.9996562004089355,1,21,106,1
43,holm ... embodies the character with an effortlessly regal charisma . ,1,1,0.9997953772544861,0.9997953772544861,1,11,70,0
44,"the title not only describes its main characters , but the lazy people behind the camera as well . ",0,0,0.987155556678772,0.012844477780163288,1,19,99,1
45,it offers little beyond the momentary joys of pretty and weightless intellectual entertainment . ,0,0,0.8464195728302002,0.1535804569721222,1,14,97,0
46,a synthesis of cliches and absurdities that seems positively decadent in its cinematic flash and emptiness . ,0,0,0.911615252494812,0.0883847028017044,1,17,109,0
47,a subtle and well-crafted ( for the most part ) chiller . ,1,1,0.9997568726539612,0.9997568726539612,1,12,58,0
48,has a lot of the virtues of eastwood at his best . ,1,1,0.9997990727424622,0.9997990727424622,1,12,51,0
49,it 's hampered by a lifetime-channel kind of plot and a lead actress who is out of her depth . ,0,0,0.9994285702705383,0.0005714072030968964,1,20,95,0
50,"it feels like an after-school special gussied up with some fancy special effects , and watching its rote plot points connect is about as exciting as gazing at an egg timer for 93 minutes . ",0,0,0.9971650242805481,0.0028349116910248995,1,35,189,0
51,"for the most part , director anne-sophie birot 's first feature is a sensitive , extraordinarily well-acted drama . ",1,1,0.9997634291648865,0.9997634291648865,1,19,116,0
52,"mr. tsai is a very original artist in his medium , and what time is it there ? ",1,1,0.9989738464355469,0.9989738464355469,1,18,79,0
53,sade is an engaging look at the controversial eponymous and fiercely atheistic hero . ,1,1,0.9990744590759277,0.9990744590759277,1,14,86,0
54,so devoid of any kind of intelligible story that it makes films like xxx and collateral damage seem like thoughtful treatises ,0,0,0.9985047578811646,0.0014953255886211991,1,21,126,0
55,"a tender , heartfelt family drama . ",1,1,0.9997990727424622,0.9997990727424622,1,7,36,0
56,... a hollow joke told by a cinematic gymnast having too much fun embellishing the misanthropic tale to actually engage it . ,0,0,0.9990843534469604,0.0009156495216302574,1,22,125,0
57,the cold turkey would 've been a far better title . ,0,0,0.994210958480835,0.0057890876196324825,1,11,52,0
58,manages to be both repulsively sadistic and mundane . ,0,0,0.9085702896118164,0.09142973273992538,1,9,54,0
59,"it 's just disappointingly superficial -- a movie that has all the elements necessary to be a fascinating , involving character study , but never does more than scratch the surface . ",0,0,0.9990808963775635,0.0009190863347612321,1,32,183,1
60,"this is a story of two misfits who do n't stand a chance alone , but together they are magnificent . ",1,1,0.9997382760047913,0.9997382760047913,1,21,101,1
61,"schaeffer has to find some hook on which to hang his persistently useless movies , and it might as well be the resuscitation of the middle-aged character . ",0,0,0.9986826777458191,0.0013173712650313973,1,28,156,0
62,the primitive force of this film seems to bubble up from the vast collective memory of the combatants . ,1,1,0.9924784898757935,0.9924784898757935,1,19,104,0
63,"on this tricky topic , tadpole is very much a step in the right direction , with its blend of frankness , civility and compassion . ",1,1,0.9996899366378784,0.9996899366378784,1,26,132,0
64,"the script kicks in , and mr. hartley 's distended pace and foot-dragging rhythms follow . ",0,0,0.9822240471839905,0.017775893211364746,1,16,91,0
65,you wonder why enough was n't just a music video rather than a full-length movie . ,0,0,0.9962215423583984,0.0037784185260534286,1,16,83,1
66,"if you 're hard up for raunchy college humor , this is your ticket right here . ",1,1,0.9974601864814758,0.9974601864814758,1,17,80,0
67,"a fast , funny , highly enjoyable movie . ",1,1,0.9998086094856262,0.9998086094856262,1,9,42,0
