id,category,text,true_label,bert_pred,bert_confidence,distilbert_pred,distilbert_confidence,text_length_words,has_negation,n_negations,has_contrastive
292,bert_only_correct,the story and the friendship proceeds in such a way that you 're watching a soap opera rather than a chronicle of the ups and downs that accompany lifelong friendships . ,0,0,0.8163145184516907,1,0.9985308647155762,31,0,0,0
158,bert_only_correct,"by getting myself wrapped up in the visuals and eccentricities of many of the characters , i found myself confused when it came time to get to the heart of the movie . ",0,0,0.7199841737747192,1,0.9978105425834656,33,0,0,0
449,bert_only_correct,oh come on . ,0,0,0.5035595893859863,1,0.9953924417495728,4,0,0,0
735,bert_only_correct,the experience of going to a film festival is a rewarding one ; the experiencing of sampling one through this movie is not . ,0,0,0.7002643346786499,1,0.9949356317520142,24,1,1,0
847,bert_only_correct,"... mafia , rap stars and hood rats butt their ugly heads in a regurgitation of cinematic violence that gives brutal birth to an unlikely , but likable , hero . ' ",1,1,0.9769538044929504,0,0.9944690465927124,32,1,0,1
604,bert_only_correct,vera 's technical prowess ends up selling his film short ; he smoothes over hard truths even as he uncovers them . ,0,0,0.6456830501556396,1,0.9933754801750184,22,0,0,0
612,bert_only_correct,davis ... is so enamored of her own creation that she ca n't see how insufferable the character is . ,0,0,0.6262975335121155,1,0.985666811466217,20,1,1,0
692,bert_only_correct,"sustains its dreamlike glide through a succession of cheesy coincidences and voluptuous cheap effects , not the least of which is rebecca romijn-stamos . ",0,0,0.9860590100288392,1,0.9852572083473206,24,1,1,0
395,bert_only_correct,another in-your-face wallow in the lower depths made by people who have never sung those blues . ,0,0,0.9760838150978088,1,0.9838771224021912,17,1,1,0
301,bert_only_correct,"the x potion gives the quickly named blossom , bubbles and buttercup supernatural powers that include extraordinary strength and laser-beam eyes , which unfortunately do n't enable them to discern flimsy screenplays . ",0,0,0.9400395154953004,1,0.9824250340461732,33,1,1,0
760,bert_only_correct,"writer/director joe carnahan 's grimy crime drama is a manual of precinct cliches , but it moves fast enough to cover its clunky dialogue and lapses in logic . ",1,1,0.7882446646690369,0,0.9778345823287964,29,1,0,1
643,bert_only_correct,"the jabs it employs are short , carefully placed and dead-center . ",1,1,0.901083767414093,0,0.9768179655075072,12,0,0,0
440,bert_only_correct,"this is wild surreal stuff , but brilliant and the camera just kind of sits there and lets you look at this and its like you 're going from one room to the next and none of them have any relation to the other . ",1,1,0.9958336353302002,0,0.9735985398292542,45,1,0,1
213,bert_only_correct,"this time mr. burns is trying something in the martin scorsese street-realist mode , but his self-regarding sentimentality trips him up again . ",0,0,0.9706538319587708,1,0.9631043672561646,23,1,0,1
8,bert_only_correct,you do n't have to know about music to appreciate the film 's easygoing blend of comedy and romance . ,1,1,0.999544322490692,0,0.9551464319229126,20,1,1,0
704,bert_only_correct,a bloated gasbag thesis grotesquely impressed by its own gargantuan aura of self-importance ... ,0,0,0.9933217167854308,1,0.9529508352279664,14,0,0,0
633,bert_only_correct,"still , as a visual treat , the film is almost unsurpassed . ",1,1,0.9961507320404052,0,0.9461495280265808,13,0,0,1
135,bert_only_correct,"pumpkin means to be an outrageous dark satire on fraternity life , but its ambitions far exceed the abilities of writer adam larson broder and his co-director , tony r. abrams , in their feature debut . ",0,0,0.9779393076896667,1,0.9398280382156372,37,1,0,1
123,bert_only_correct,turns potentially forgettable formula into something strangely diverting . ,1,1,0.9976990818977356,0,0.9360312223434448,9,0,0,0
46,bert_only_correct,a synthesis of cliches and absurdities that seems positively decadent in its cinematic flash and emptiness . ,0,0,0.911615252494812,1,0.9358833432197572,17,0,0,0
385,bert_only_correct,"while the resident evil games may have set new standards for thrills , suspense , and gore for video games , the movie really only succeeds in the third of these . ",0,0,0.9727444648742676,1,0.9276179671287536,32,0,0,0
405,bert_only_correct,"outer-space buffs might love this film , but others will find its pleasures intermittent . ",0,0,0.8780639171600342,1,0.8892093300819397,15,1,0,1
770,bert_only_correct,i do n't think i laughed out loud once . ,0,0,0.9708253741264344,1,0.8766063451766968,10,1,1,0
496,bert_only_correct,"it 's about following your dreams , no matter what your parents think . ",1,1,0.8697354793548584,0,0.8661098480224609,14,1,1,0
195,bert_only_correct,my thoughts were focused on the characters . ,1,1,0.9975087642669678,0,0.8500580191612244,8,0,0,0
21,bert_only_correct,the iditarod lasts for days - this just felt like it did . ,0,0,0.9361278414726256,1,0.8318156599998474,13,0,0,0
509,bert_only_correct,a movie that successfully crushes a best selling novel into a timeframe that mandates that you avoid the godzilla sized soda . ,1,1,0.894576370716095,0,0.8253880143165588,22,1,0,0
184,bert_only_correct,"though perry and hurley make inspiring efforts to breathe life into the disjointed , haphazard script by jay scherick and david ronn , neither the actors nor director reginald hudlin can make it more than fitfully entertaining . ",0,0,0.6638559103012085,1,0.7985210418701172,38,1,2,1
667,bert_only_correct,"good film , but very glum . ",1,1,0.5091770887374878,0,0.7548525333404541,7,1,0,1
684,bert_only_correct,"a study in shades of gray , offering itself up in subtle plot maneuvers ... ",1,1,0.9867540001869202,0,0.7045685648918152,15,0,0,0
448,bert_only_correct,"something akin to a japanese alice through the looking glass , except that it seems to take itself far more seriously . ",1,1,0.9830563068389891,0,0.6097633242607117,22,0,0,1
813,bert_only_correct,i can take infantile humor ... but this is the sort of infantile that makes you wonder about changing the director and writer 's diapers . ,0,0,0.9963484406471252,1,0.5707761645317078,26,1,0,1
375,bert_only_correct,we have n't seen such hilarity since say it is n't so ! ,1,1,0.9732434153556824,0,0.502000629901886,13,1,2,0
358,distilbert_only_correct,( d ) oes n't bother being as cloying or preachy as equivalent evangelical christian movies -- maybe the filmmakers know that the likely audience will already be among the faithful . ,1,0,0.9946869611740112,1,0.8419638872146606,32,1,1,0
69,distilbert_only_correct,"this one is definitely one to skip , even for horror movie fanatics . ",0,1,0.9807794094085692,0,0.751977801322937,14,0,0,0
645,distilbert_only_correct,"the words , ` frankly , my dear , i do n't give a damn , ' have never been more appropriate . ",0,1,0.961402952671051,0,0.773775041103363,23,1,2,0
172,distilbert_only_correct,it seems like i have been waiting my whole life for this movie and now i ca n't wait for the sequel . ,1,0,0.9392051100730896,1,0.992587149143219,23,1,1,0
527,distilbert_only_correct,it has all the excitement of eating oatmeal . ,0,1,0.8904278874397278,0,0.9886626601219176,9,0,0,0
