id,text,true_label,distilbert_pred,distilbert_confidence,distilbert_prob_label_1,distilbert_correct,text_length_words,text_length_chars,has_negation
0,it 's a charming and often affecting journey . ,1,1,0.999893069267273,0.999893069267273,1,9,47,0
1,unflinchingly bleak and desperate ,0,0,0.9987913966178894,0.0012086601927876472,1,4,34,0
2,allows us to hope that nolan is poised to embark a major career as a commercial yet inventive filmmaker . ,1,1,0.9992934465408325,0.9992934465408325,1,20,106,1
3,"the acting , costumes , music , cinematography and sound are all astounding given the production 's austere locales . ",1,1,0.9993239641189575,0.9993239641189575,1,20,118,0
4,"it 's slow -- very , very slow . ",0,0,0.9994916915893555,0.0005082851275801659,1,9,33,0
5,"although laced with humor and a few fanciful touches , the film is a refreshingly serious look at young women . ",1,1,0.9998162388801575,0.9998162388801575,1,21,112,1
6,a sometimes tedious film . ,0,0,0.9991395473480225,0.0008603876340202987,1,5,27,0
7,or doing last year 's taxes with your ex-wife . ,0,0,0.9911801218986511,0.008819883689284325,1,10,48,0
8,you do n't have to know about music to appreciate the film 's easygoing blend of comedy and romance . ,1,0,0.9551464319229126,0.04485360160470009,0,20,102,1
9,"in exactly 89 minutes , most of which passed as slowly as if i 'd been sitting naked on an igloo , formula 51 sank from quirky to jerky to utter turkey . ",0,0,0.9992783665657043,0.0007216676021926105,1,33,154,0
10,the mesmerizing performances of the leads keep the film grounded and keep the audience riveted . ,1,1,0.9998457431793213,0.9998457431793213,1,16,97,0
11,"it takes a strange kind of laziness to waste the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same movie . ",0,0,0.9996744394302368,0.0003255161573179066,1,30,152,0
12,... the film suffers from a lack of humor ( something needed to balance out the violence ) ... ,0,0,0.9996799230575562,0.0003200851788278669,1,19,95,0
13,"we root for ( clara and paul ) , even like them , though perhaps it 's an emotion closer to pity . ",1,1,0.7205601930618286,0.7205601930618286,1,23,99,0
14,even horror fans will most likely not find what they 're seeking with trouble every day ; the movie lacks both thrills and humor . ,0,0,0.9996377229690552,0.0003622777294367552,1,25,131,1
15,"a gorgeous , high-spirited musical from india that exquisitely blends music , dance , song , and high drama . ",1,1,0.9998817443847656,0.9998817443847656,1,20,110,0
16,the emotions are raw and will strike a nerve with anyone who 's ever had family trauma . ,1,1,0.9992054104804993,0.9992054104804993,1,18,89,0
17,"audrey tatou has a knack for picking roles that magnify her outrageous charm , and in this literate french comedy , she 's as morning-glory exuberant as she was in amélie . ",1,1,0.999659538269043,0.999659538269043,1,32,173,0
18,... the movie is just a plain old monster . ,0,0,0.9986750483512878,0.0013248721370473504,1,10,44,0
19,"in its best moments , resembles a bad high school production of grease , without benefit of song . ",0,0,0.9995028972625732,0.000497128174174577,1,19,99,0
20,"pumpkin takes an admirable look at the hypocrisy of political correctness , but it does so with such an uneven tone that you never know when humor ends and tragedy begins . ",0,0,0.9897304773330688,0.010269508697092533,1,32,173,1
21,the iditarod lasts for days - this just felt like it did . ,0,1,0.8318156599998474,0.8318156599998474,0,13,59,0
22,holden caulfield did it better . ,0,1,0.9954054355621338,0.9954054355621338,0,6,33,0
23,"a delectable and intriguing thriller filled with surprises , read my lips is an original . ",1,1,0.999881386756897,0.999881386756897,1,16,91,0
24,seldom has a movie so closely matched the spirit of a man and his work . ,1,1,0.9978246688842773,0.9978246688842773,1,16,73,0
25,"nicks , seemingly uncertain what 's going to make people laugh , runs the gamut from stale parody to raunchy sex gags to formula romantic comedy . ",0,0,0.9986591339111328,0.00134084012825042,1,27,147,0
26,"the action switches between past and present , but the material link is too tenuous to anchor the emotional connections that purport to span a 125-year divide . ",0,0,0.9926891922950745,0.007310809101909399,1,28,161,1
27,it 's an offbeat treat that pokes fun at the democratic exercise while also examining its significance for those who take part . ,1,1,0.9992873072624207,0.9992873072624207,1,23,129,0
28,"it 's a cookie-cutter movie , a cut-and-paste job . ",0,0,0.9982777833938599,0.0017222416354343295,1,10,52,0
29,i had to look away - this was god awful . ,0,0,0.9991214871406555,0.0008785474929027259,1,11,42,0
30,"thanks to scott 's charismatic roger and eisenberg 's sweet nephew , roger dodger is one of the most compelling variations on in the company of men . ",1,1,0.9998433589935303,0.9998433589935303,1,28,150,0
31,"... designed to provide a mix of smiles and tears , `` crossroads '' instead provokes a handful of unintentional howlers and numerous yawns . ",0,0,0.9959392547607422,0.0040607391856610775,1,25,142,0
32,"a gorgeous , witty , seductive movie . ",1,1,0.9998906850814819,0.9998906850814819,1,8,39,0
33,"if the movie succeeds in instilling a wary sense of ` there but for the grace of god , ' it is far too self-conscious to draw you deeply into its world . ",0,0,0.9704481363296509,0.029551859945058823,1,33,154,1
34,"it does n't believe in itself , it has no sense of humor ... it 's just plain bored . ",0,0,0.9996238946914673,0.0003760431718546897,1,20,86,1
35,a sequence of ridiculous shoot - 'em - up scenes . ,0,0,0.9995256662368774,0.0004743451136164367,1,11,51,0
36,"the weight of the piece , the unerring professionalism of the chilly production , and the fascination embedded in the lurid topic prove recommendation enough . ",1,1,0.9993011951446533,0.9993011951446533,1,26,160,1
37,"( w ) hile long on amiable monkeys and worthy environmentalism , jane goodall 's wild chimpanzees is short on the thrills the oversize medium demands . ",0,0,0.9886753559112549,0.011324649676680565,1,27,152,0
38,"as surreal as a dream and as detailed as a photograph , as visually dexterous as it is at times imaginatively overwhelming . ",1,1,0.9992259740829468,0.9992259740829468,1,23,125,0
39,"escaping the studio , piccoli is warmly affecting and so is this adroitly minimalist movie . ",1,1,0.9997562766075134,0.9997562766075134,1,16,93,0
40,"there 's ... tremendous energy from the cast , a sense of playfulness and excitement that seems appropriate . ",1,1,0.999882698059082,0.999882698059082,1,19,110,0
41,"this illuminating documentary transcends our preconceived vision of the holy land and its inhabitants , revealing the human complexities beneath . ",1,1,0.9996250867843628,0.9996250867843628,1,21,147,0
42,the subtle strength of `` elling '' is that it never loses touch with the reality of the grim situation . ,1,1,0.9998007416725159,0.9998007416725159,1,21,106,1
43,holm ... embodies the character with an effortlessly regal charisma . ,1,1,0.9998067021369934,0.9998067021369934,1,11,70,0
44,"the title not only describes its main characters , but the lazy people behind the camera as well . ",0,0,0.9886935353279114,0.011306497268378735,1,19,99,1
45,it offers little beyond the momentary joys of pretty and weightless intellectual entertainment . ,0,0,0.9814181923866272,0.018581802025437355,1,14,97,0
46,a synthesis of cliches and absurdities that seems positively decadent in its cinematic flash and emptiness . ,0,1,0.9358833432197571,0.9358833432197571,0,17,109,0
47,a subtle and well-crafted ( for the most part ) chiller . ,1,1,0.9998481273651123,0.9998481273651123,1,12,58,0
48,has a lot of the virtues of eastwood at his best . ,1,1,0.999755322933197,0.999755322933197,1,12,51,0
49,it 's hampered by a lifetime-channel kind of plot and a lead actress who is out of her depth . ,0,0,0.999627947807312,0.0003720001841429621,1,20,95,0
50,"it feels like an after-school special gussied up with some fancy special effects , and watching its rote plot points connect is about as exciting as gazing at an egg timer for 93 minutes . ",0,0,0.9991967082023621,0.0008033591439016163,1,35,189,0
51,"for the most part , director anne-sophie birot 's first feature is a sensitive , extraordinarily well-acted drama . ",1,1,0.999681830406189,0.999681830406189,1,19,116,0
52,"mr. tsai is a very original artist in his medium , and what time is it there ? ",1,1,0.9995379447937012,0.9995379447937012,1,18,79,0
53,sade is an engaging look at the controversial eponymous and fiercely atheistic hero . ,1,1,0.9996691942214966,0.9996691942214966,1,14,86,0
54,so devoid of any kind of intelligible story that it makes films like xxx and collateral damage seem like thoughtful treatises ,0,0,0.9992874264717102,0.0007126425625756383,1,21,126,0
55,"a tender , heartfelt family drama . ",1,1,0.9998667240142822,0.9998667240142822,1,7,36,0
56,... a hollow joke told by a cinematic gymnast having too much fun embellishing the misanthropic tale to actually engage it . ,0,0,0.9990241527557373,0.0009758193045854568,1,22,125,0
57,the cold turkey would 've been a far better title . ,0,0,0.9972557425498962,0.0027442295104265213,1,11,52,0
58,manages to be both repulsively sadistic and mundane . ,0,0,0.9970560073852539,0.0029439767822623253,1,9,54,0
59,"it 's just disappointingly superficial -- a movie that has all the elements necessary to be a fascinating , involving character study , but never does more than scratch the surface . ",0,0,0.9993171691894531,0.0006828252226114273,1,32,183,1
60,"this is a story of two misfits who do n't stand a chance alone , but together they are magnificent . ",1,1,0.9998700618743896,0.9998700618743896,1,21,101,1
61,"schaeffer has to find some hook on which to hang his persistently useless movies , and it might as well be the resuscitation of the middle-aged character . ",0,0,0.9968666434288025,0.003133396850898862,1,28,156,0
